Category,Product,Cluster,Total_Price_Bin,Price_Bin,Quantity_Bin
Soft Drinks,Red Bull,1,High,Premium,High
Juices,Mango Juice,0,High,Premium,Medium
Soft Drinks,Fritz-Kola,1,Very High,Premium,Very High
Juices,Rauch Multivitamin,0,High,Premium,High
Soft Drinks,Fritz-Kola,1,High,Premium,High
Juices,Mango Juice,0,High,Premium,High
Juices,Passion Fruit Juice,0,High,Premium,Medium
Juices,Tomato Juice,0,Very High,Premium,Very High
Soft Drinks,Red Bull,1,Medium,Premium,Low
Juices,Tomato Juice,0,Very High,Premium,High
Soft Drinks,Red Bull,1,Very Low,Premium,Very Low
Soft Drinks,Red Bull,1,Low,Premium,Very Low
Juices,Granini Apple,0,Very High,Premium,Very High
Soft Drinks,Red Bull,1,High,Premium,High
Juices,Mango Juice,0,High,Premium,High
Soft Drinks,Red Bull,1,Medium,Premium,Low
Juices,Granini Apple,0,Very High,Premium,Very High
Juices,Mango Juice,0,High,Premium,High
Juices,Tomato Juice,0,High,Premium,Low
Juices,Passion Fruit Juice,0,High,Premium,High
Juices,Tomato Juice,0,High,Premium,Medium
Juices,Rauch Multivitamin,0,Low,Premium,Very Low
Juices,Rauch Multivitamin,0,Medium,Premium,Medium
Alcoholic Beverages,Riesling,3,High,Premium,Medium
Juices,Tomato Juice,0,Very High,Premium,Very High
Juices,Tomato Juice,0,High,Premium,Medium
Juices,Rauch Multivitamin,0,Very High,Premium,Very High
Juices,Passion Fruit Juice,0,Medium,Premium,Low
Juices,Tomato Juice,0,Medium,Premium,Very Low
Juices,Rauch Multivitamin,0,High,Premium,High
Juices,Passion Fruit Juice,0,Very High,Premium,Very High
Soft Drinks,Fritz-Kola,1,Medium,Premium,Medium
Juices,Passion Fruit Juice,0,Low,Premium,Very Low
Juices,Passion Fruit Juice,0,Very High,Premium,Very High
Juices,Passion Fruit Juice,0,Very High,Premium,Very High
Juices,Mango Juice,0,Medium,Premium,Low
Alcoholic Beverages,Erdinger Weißbier,3,Low,Premium,Very Low
Soft Drinks,Monster,1,Very High,Premium,Very High
Soft Drinks,Rockstar,1,Medium,Premium,Medium
Juices,Tomato Juice,0,High,Premium,Medium
Juices,Passion Fruit Juice,0,High,Premium,High
Juices,Passion Fruit Juice,0,Very High,Premium,Very High
Juices,Mango Juice,0,Very Low,Premium,Very Low
Juices,Passion Fruit Juice,0,Very Low,Premium,Very Low
Juices,Cranberry Juice,0,Very High,Premium,Very High
Soft Drinks,Red Bull,1,Very High,Premium,Very High
Juices,Hohes C Orange,0,Very High,Premium,Very High
Juices,Passion Fruit Juice,0,High,Premium,Medium
Soft Drinks,Fritz-Kola,1,High,Premium,High
Soft Drinks,Rockstar,1,Very Low,Premium,Very Low
Soft Drinks,Rockstar,1,Very Low,Premium,Very Low
Soft Drinks,Monster,1,Low,Premium,Very Low
Juices,Mango Juice,0,High,Premium,High
Juices,Rauch Multivitamin,0,Very High,Premium,Very High
Juices,Passion Fruit Juice,0,High,Premium,High
Juices,Passion Fruit Juice,0,High,Premium,Medium
Soft Drinks,Monster,1,High,Premium,High
Juices,Tomato Juice,0,Very High,Premium,Very High
Juices,Rauch Multivitamin,0,Low,Premium,Very Low
Juices,Mango Juice,0,High,Premium,High
Juices,Granini Apple,0,Very High,Premium,Very High
Soft Drinks,Rockstar,1,Medium,Premium,Medium
Juices,Passion Fruit Juice,0,Medium,Premium,Very Low
Juices,Tomato Juice,0,Low,Premium,Very Low
Soft Drinks,Monster,1,Low,Premium,Very Low
Soft Drinks,Monster,1,Very High,Premium,Very High
Soft Drinks,Monster,1,High,Premium,Medium
Juices,Passion Fruit Juice,0,High,Premium,High
Juices,Rauch Multivitamin,0,Low,Premium,Very Low
Juices,Cranberry Juice,0,High,Premium,High
Juices,Passion Fruit Juice,0,Very Low,Premium,Very Low
Juices,Mango Juice,0,High,Premium,High
Soft Drinks,Rockstar,1,High,Premium,Medium
Juices,Mango Juice,0,High,Premium,High
Juices,Mango Juice,0,Very Low,Premium,Very Low
Juices,Tomato Juice,0,High,Premium,Medium
Soft Drinks,Red Bull,1,Medium,Premium,Medium
Juices,Passion Fruit Juice,0,Very High,Premium,High
Soft Drinks,Red Bull,1,High,Premium,High
Soft Drinks,Rockstar,1,Low,Premium,Very Low
Juices,Cranberry Juice,0,Very Low,Premium,Very Low
Juices,Rauch Multivitamin,0,Very High,Premium,Very High
Soft Drinks,Red Bull,1,Medium,Premium,Medium
Juices,Tomato Juice,0,High,Premium,Medium
Juices,Tomato Juice,0,Very High,Premium,Very High
Juices,Tomato Juice,0,Medium,Premium,Low
Juices,Mango Juice,0,High,Premium,Medium
Juices,Rauch Multivitamin,0,High,Premium,Medium
Soft Drinks,Fritz-Kola,1,Very High,Premium,Very High
Juices,Tomato Juice,0,Low,Premium,Very Low
Juices,Mango Juice,0,High,Premium,High
Juices,Hohes C Orange,0,Very High,Premium,Very High
Soft Drinks,Club Mate,1,Very High,Premium,Very High
Juices,Passion Fruit Juice,0,Medium,Premium,Low
Juices,Rauch Multivitamin,0,Medium,Premium,Medium
Juices,Passion Fruit Juice,0,Very High,Premium,Very High
Juices,Passion Fruit Juice,0,High,Premium,High
Soft Drinks,Fritz-Kola,1,Very High,Premium,Very High
Juices,Passion Fruit Juice,0,Medium,Premium,Low
Juices,Mango Juice,0,Medium,Premium,Low
Juices,Rauch Multivitamin,0,Low,Premium,Very Low
Juices,Mango Juice,0,Low,Premium,Very Low
Juices,Tomato Juice,0,Medium,Premium,Very Low
Juices,Mango Juice,0,Low,Premium,Very Low
Juices,Mango Juice,0,High,Premium,Medium
Soft Drinks,Red Bull,1,High,Premium,High
Soft Drinks,Club Mate,1,High,Premium,Medium
Juices,Mango Juice,0,Low,Premium,Very Low
Juices,Tomato Juice,0,High,Premium,High
Juices,Tomato Juice,0,High,Premium,Medium
Soft Drinks,Red Bull,1,Very Low,Premium,Very Low
Juices,Tomato Juice,0,High,Premium,Low
Juices,Hohes C Orange,0,Very High,Premium,Very High
Soft Drinks,Monster,1,High,Premium,High
Juices,Mango Juice,0,Medium,Premium,Low
Soft Drinks,Monster,1,Low,Premium,Very Low
Juices,Mango Juice,0,High,Premium,High
Juices,Rauch Multivitamin,0,High,Premium,High
Soft Drinks,Monster,1,High,Premium,Medium
Soft Drinks,Rockstar,1,High,Premium,High
Soft Drinks,Red Bull,1,Medium,Premium,Medium
Juices,Rauch Multivitamin,0,High,Premium,High
Juices,Tomato Juice,0,High,Premium,High
Juices,Tomato Juice,0,Medium,Premium,Low
Juices,Tomato Juice,0,Low,Premium,Very Low
Juices,Hohes C Orange,0,Very High,Premium,Very High
Juices,Rauch Multivitamin,0,Medium,Premium,Low
Juices,Rauch Multivitamin,0,Low,Premium,Very Low
Soft Drinks,Rockstar,1,Low,Premium,Low
Juices,Rauch Multivitamin,0,High,Premium,High
Soft Drinks,Red Bull,1,Low,Premium,Very Low
Juices,Passion Fruit Juice,0,Medium,Premium,Low
Juices,Passion Fruit Juice,0,Medium,Premium,Low
Juices,Tomato Juice,0,Low,Premium,Very Low
Juices,Mango Juice,0,High,Premium,High
Juices,Rauch Multivitamin,0,Medium,Premium,Low
Soft Drinks,Club Mate,1,Medium,Premium,Low
Juices,Tomato Juice,0,Medium,Premium,Low
Juices,Tomato Juice,0,Medium,Premium,Low
Soft Drinks,Fritz-Kola,1,High,Premium,High
Soft Drinks,Monster,1,High,Premium,Medium
Juices,Tomato Juice,0,Very High,Premium,Very High
Soft Drinks,Red Bull,1,High,Premium,Medium
Soft Drinks,Red Bull,1,Low,Premium,Very Low
Soft Drinks,Monster,1,Low,Premium,Very Low
Juices,Tomato Juice,0,Medium,Premium,Very Low
Juices,Tomato Juice,0,High,Premium,Medium
Juices,Tomato Juice,0,Very High,Premium,Very High
Alcoholic Beverages,Rotkäppchen Sekt,3,High,Premium,High
Juices,Mango Juice,0,High,Premium,High
Juices,Tomato Juice,0,High,Premium,High
Soft Drinks,Red Bull,1,Medium,Premium,Medium
Juices,Passion Fruit Juice,0,High,Premium,High
Juices,Hohes C Orange,0,Very High,Premium,Very High
Soft Drinks,Rockstar,1,Low,Premium,Very Low
Juices,Cranberry Juice,0,High,Premium,High
Soft Drinks,Rockstar,1,High,Premium,High
Juices,Rauch Multivitamin,0,Very High,Premium,Very High
Juices,Rauch Multivitamin,0,Very High,Premium,Very High
Juices,Mango Juice,0,Medium,Premium,Very Low
Juices,Mango Juice,0,Medium,Premium,Low
Juices,Passion Fruit Juice,0,Medium,Premium,Very Low
Juices,Mango Juice,0,Low,Premium,Very Low
Juices,Passion Fruit Juice,0,High,Premium,Medium
Soft Drinks,Monster,1,Low,Premium,Very Low
Juices,Passion Fruit Juice,0,High,Premium,Medium
Soft Drinks,Monster,1,High,Premium,High
Juices,Mango Juice,0,High,Premium,Medium
Soft Drinks,Monster,1,Low,Premium,Very Low
Juices,Rauch Multivitamin,0,Very High,Premium,Very High
Juices,Mango Juice,0,Medium,Premium,Low
Juices,Mango Juice,0,Very High,Premium,Very High
Juices,Granini Apple,0,Very High,Premium,Very High
Juices,Mango Juice,0,Very High,Premium,High
Juices,Rauch Multivitamin,0,High,Premium,High
Juices,Tomato Juice,0,Very High,Premium,Very High
Alcoholic Beverages,Erdinger Weißbier,3,Low,Premium,Low
Soft Drinks,Red Bull,1,Very Low,Premium,Very Low
Soft Drinks,Red Bull,1,Very High,Premium,High
Juices,Mango Juice,0,High,Premium,Medium
Juices,Passion Fruit Juice,0,High,Premium,Medium
Soft Drinks,Monster,1,High,Premium,Medium
Soft Drinks,Monster,1,High,Premium,Medium
Juices,Passion Fruit Juice,0,High,Premium,High
Soft Drinks,Fritz-Kola,1,High,Premium,High
Juices,Mango Juice,0,High,Premium,Medium
Juices,Cranberry Juice,0,Very High,Premium,Very High
Juices,Cranberry Juice,0,Very High,Premium,Very High
Juices,Cranberry Juice,0,Very High,Premium,Very High
Juices,Mango Juice,0,High,Premium,Low
Juices,Hohes C Orange,0,High,Premium,High
Juices,Rauch Multivitamin,0,High,Premium,High
Juices,Rauch Multivitamin,0,Very High,Premium,Very High
Juices,Tomato Juice,0,Medium,Premium,Very Low
Juices,Rauch Multivitamin,0,High,Premium,High
Juices,Rauch Multivitamin,0,Low,Premium,Low
Juices,Rauch Multivitamin,0,High,Premium,High
Juices,Rauch Multivitamin,0,Medium,Premium,Low
Juices,Mango Juice,0,High,Premium,High
Juices,Passion Fruit Juice,0,High,Premium,Medium
Juices,Mango Juice,0,High,Premium,Medium
Soft Drinks,Monster,1,Very Low,Premium,Very Low
Soft Drinks,Rockstar,1,Low,Premium,Very Low
Juices,Tomato Juice,0,Low,Premium,Very Low
Juices,Rauch Multivitamin,0,High,Premium,High
Juices,Tomato Juice,0,High,Premium,Medium
Juices,Tomato Juice,0,Very High,Premium,Very High
Juices,Mango Juice,0,High,Premium,Medium
Juices,Passion Fruit Juice,0,High,Premium,High
Soft Drinks,Monster,1,Very Low,Premium,Very Low
Juices,Mango Juice,0,Low,Premium,Very Low
Soft Drinks,Rockstar,1,Low,Premium,Very Low
Alcoholic Beverages,Erdinger Weißbier,3,Medium,Premium,Low
Soft Drinks,Monster,1,High,Premium,Medium
Soft Drinks,Rockstar,1,Very High,Premium,Very High
Juices,Hohes C Orange,0,Very High,Premium,Very High
Juices,Rauch Multivitamin,0,Low,Premium,Very Low
Juices,Rauch Multivitamin,0,High,Premium,High
Juices,Rauch Multivitamin,0,High,Premium,Medium
Juices,Tomato Juice,0,High,Premium,Medium
Juices,Rauch Multivitamin,0,Low,Premium,Very Low
Juices,Tomato Juice,0,High,Premium,High
Juices,Passion Fruit Juice,0,High,Premium,Medium
Soft Drinks,Red Bull,1,High,Premium,High
Juices,Rauch Multivitamin,0,Low,Premium,Very Low
Juices,Passion Fruit Juice,0,High,Premium,Medium
Juices,Passion Fruit Juice,0,High,Premium,Medium
Juices,Tomato Juice,0,Very High,Premium,Very High
Juices,Passion Fruit Juice,0,High,Premium,Medium
Juices,Hohes C Orange,0,High,Premium,High
Juices,Mango Juice,0,High,Premium,Medium
Juices,Rauch Multivitamin,0,Medium,Premium,Medium
Soft Drinks,Fritz-Kola,1,Very High,Premium,Very High
Juices,Rauch Multivitamin,0,Medium,Premium,Low
Juices,Passion Fruit Juice,0,Medium,Premium,Medium
Juices,Tomato Juice,0,High,Premium,Medium
Soft Drinks,Monster,1,High,Premium,Medium
Juices,Mango Juice,0,Very Low,Premium,Very Low
Juices,Mango Juice,0,High,Premium,Low
Soft Drinks,Red Bull,1,Low,Premium,Very Low
Soft Drinks,Club Mate,1,High,Premium,High
Soft Drinks,Fritz-Kola,1,Very High,Premium,High
Soft Drinks,Rockstar,1,Very High,Premium,Very High
Juices,Tomato Juice,0,Very High,Premium,Very High
Soft Drinks,Red Bull,1,Very Low,Premium,Very Low
Juices,Passion Fruit Juice,0,Very High,Premium,High
Juices,Rauch Multivitamin,0,Low,Premium,Very Low
Juices,Rauch Multivitamin,0,Medium,Premium,Low
Juices,Rauch Multivitamin,0,Medium,Premium,Low
Juices,Passion Fruit Juice,0,Low,Premium,Very Low
Juices,Mango Juice,0,High,Premium,High
Soft Drinks,Fritz-Kola,1,Very High,Premium,Very High
Juices,Passion Fruit Juice,0,High,Premium,Medium
Juices,Rauch Multivitamin,0,Low,Premium,Very Low
Juices,Rauch Multivitamin,0,Very Low,Premium,Very Low
Juices,Passion Fruit Juice,0,Medium,Premium,Low
Juices,Passion Fruit Juice,0,Very High,Premium,Very High
Juices,Tomato Juice,0,Low,Premium,Very Low
Juices,Mango Juice,0,Medium,Premium,Low
Juices,Mango Juice,0,Very High,Premium,Very High
Soft Drinks,Red Bull,1,Medium,Premium,Low
Soft Drinks,Red Bull,1,Medium,Premium,Medium
Juices,Tomato Juice,0,Medium,Premium,Low
Juices,Mango Juice,0,Medium,Premium,Low
Juices,Mango Juice,0,High,Premium,Medium
Juices,Passion Fruit Juice,0,Medium,Premium,Low
Juices,Mango Juice,0,Low,Premium,Very Low
Juices,Tomato Juice,0,High,Premium,Medium
Juices,Rauch Multivitamin,0,Very High,Premium,Very High
Juices,Mango Juice,0,Medium,Premium,Low
Soft Drinks,Red Bull,1,Medium,Premium,Medium
Alcoholic Beverages,Erdinger Weißbier,3,Very High,Premium,Very High
Juices,Rauch Multivitamin,0,Medium,Premium,Low
Soft Drinks,Monster,1,Medium,Premium,Very Low
Juices,Tomato Juice,0,High,Premium,High
Juices,Tomato Juice,0,Very High,Premium,Very High
Soft Drinks,Red Bull,1,Medium,Premium,Medium
Juices,Passion Fruit Juice,0,Medium,Premium,Low
Soft Drinks,Red Bull,1,Very Low,Premium,Very Low
Juices,Tomato Juice,0,Very Low,Premium,Very Low
Juices,Passion Fruit Juice,0,High,Premium,High
Juices,Tomato Juice,0,Very High,Premium,High
Soft Drinks,Monster,1,High,Premium,High
Juices,Rauch Multivitamin,0,High,Premium,Medium
Juices,Hohes C Orange,0,Very High,Premium,Very High
Soft Drinks,Red Bull,1,Medium,Premium,Medium
Juices,Rauch Multivitamin,0,Medium,Premium,Low
Juices,Rauch Multivitamin,0,Medium,Premium,Low
Juices,Rauch Multivitamin,0,High,Premium,Medium
Juices,Rauch Multivitamin,0,Low,Premium,Very Low
Soft Drinks,Rockstar,1,Low,Premium,Low
Juices,Rauch Multivitamin,0,Medium,Premium,Low
Juices,Mango Juice,0,High,Premium,High
Soft Drinks,Monster,1,High,Premium,High
Juices,Tomato Juice,0,Medium,Premium,Low
Juices,Passion Fruit Juice,0,High,Premium,Medium
Alcoholic Beverages,Augustiner,3,Very High,Premium,Very High
Juices,Mango Juice,0,High,Premium,Medium
Juices,Mango Juice,0,Very Low,Premium,Very Low
Soft Drinks,Red Bull,1,Medium,Premium,Low
Juices,Rauch Multivitamin,0,Medium,Premium,Medium
Juices,Tomato Juice,0,Low,Premium,Very Low
Juices,Tomato Juice,0,Low,Premium,Very Low
Juices,Mango Juice,0,Very High,Premium,Very High
Juices,Rauch Multivitamin,0,Low,Premium,Very Low
Juices,Passion Fruit Juice,0,High,Premium,High
Juices,Tomato Juice,0,High,Premium,Medium
Juices,Mango Juice,0,Low,Premium,Very Low
Juices,Rauch Multivitamin,0,Very High,Premium,Very High
Juices,Mango Juice,0,Very Low,Premium,Very Low
Juices,Mango Juice,0,Very High,Premium,Very High
Juices,Passion Fruit Juice,0,Medium,Premium,Very Low
Juices,Mango Juice,0,Medium,Premium,Low
Juices,Mango Juice,0,Very High,Premium,Very High
Juices,Passion Fruit Juice,0,Very High,Premium,Very High
Juices,Tomato Juice,0,Very High,Premium,Very High
Soft Drinks,Rockstar,1,Very High,Premium,Very High
Juices,Rauch Multivitamin,0,High,Premium,Medium
Juices,Rauch Multivitamin,0,Medium,Premium,Medium
Soft Drinks,Monster,1,Low,Premium,Very Low
Soft Drinks,Club Mate,1,Very High,Premium,High
Juices,Rauch Multivitamin,0,High,Premium,Medium
Juices,Passion Fruit Juice,0,High,Premium,Medium
Juices,Mango Juice,0,Very High,Premium,Very High
Juices,Rauch Multivitamin,0,Medium,Premium,Low
Juices,Tomato Juice,0,Very Low,Premium,Very Low
Soft Drinks,Monster,1,Medium,Premium,Low
Alcoholic Beverages,Augustiner,3,Very High,Premium,Very High
Juices,Rauch Multivitamin,0,Very High,Premium,Very High
Juices,Rauch Multivitamin,0,High,Premium,High
Soft Drinks,Club Mate,1,Very Low,Premium,Very Low
Juices,Tomato Juice,0,Medium,Premium,Low
Juices,Rauch Multivitamin,0,Very High,Premium,Very High
Juices,Rauch Multivitamin,0,High,Premium,High
Soft Drinks,Red Bull,1,Medium,Premium,Low
Juices,Passion Fruit Juice,0,Low,Premium,Very Low
Soft Drinks,Monster,1,Medium,Premium,Very Low
Juices,Passion Fruit Juice,0,Medium,Premium,Low
Soft Drinks,Red Bull,1,Low,Premium,Very Low
Juices,Cranberry Juice,0,Medium,Premium,Low
Juices,Mango Juice,0,Very Low,Premium,Very Low
Juices,Rauch Multivitamin,0,Low,Premium,Very Low
Soft Drinks,Club Mate,1,High,Premium,High
Alcoholic Beverages,Sauvignon Blanc,3,Very High,Premium,Very High
Water,Volvic Touch,2,Medium,Economy,Medium
Water,Gerolsteiner,2,Very Low,Economy,Very Low
Soft Drinks,Fanta,1,Very Low,Economy,Very Low
Alcoholic Beverages,Beck's,3,Medium,Economy,Medium
Soft Drinks,Fanta,1,Very Low,Economy,Very Low
Alcoholic Beverages,Augustiner,3,Low,Economy,Low
Alcoholic Beverages,Beck's,3,Medium,Economy,High
Alcoholic Beverages,Warsteiner,3,Low,Economy,Medium
Water,Apollinaris,2,Very Low,Economy,Very Low
Soft Drinks,Fanta,1,High,Economy,Very High
Soft Drinks,Coca-Cola,1,Medium,Economy,High
Alcoholic Beverages,Augustiner,3,Very Low,Economy,Very Low
Soft Drinks,Schwip Schwap,1,Low,Economy,Medium
Alcoholic Beverages,Augustiner,3,Very Low,Economy,Very Low
Water,Evian,2,Low,Economy,Low
Soft Drinks,Schwip Schwap,1,Very Low,Economy,Very Low
Water,Selters,2,High,Economy,Very High
Water,Volvic Touch,2,Medium,Economy,High
Soft Drinks,Fanta,1,Medium,Economy,Medium
Alcoholic Beverages,Kölsch,3,Medium,Economy,High
Alcoholic Beverages,Jever,3,High,Economy,Very High
Water,Gerolsteiner,2,Very Low,Economy,Very Low
Alcoholic Beverages,Augustiner,3,High,Economy,High
Soft Drinks,Coca-Cola,1,Medium,Economy,High
Water,Evian,2,Medium,Economy,High
Juices,Granini Apple,0,High,Economy,Very High
Soft Drinks,Coca-Cola,1,Low,Economy,Medium
Soft Drinks,Schwip Schwap,1,High,Economy,Very High
Juices,Hohes C Orange,0,Very Low,Economy,Very Low
Water,Gerolsteiner,2,Low,Economy,Low
Soft Drinks,Mountain Dew,1,Low,Economy,Low
Alcoholic Beverages,Warsteiner,3,Low,Economy,Low
Alcoholic Beverages,Augustiner,3,Very Low,Economy,Very Low
Soft Drinks,Fanta,1,Low,Economy,Medium
Alcoholic Beverages,Jever,3,Very High,Economy,Very High
Water,Volvic Touch,2,Low,Economy,Low
Water,Evian,2,Medium,Economy,High
Water,Volvic Touch,2,Medium,Economy,High
Water,Gerolsteiner,2,Low,Economy,Medium
Water,Vio Wasser,2,High,Economy,Very High
Alcoholic Beverages,Beck's,3,Very Low,Economy,Very Low
Soft Drinks,Coca-Cola,1,Low,Economy,Low
Water,Volvic Touch,2,Low,Economy,Low
Soft Drinks,Schwip Schwap,1,Low,Economy,Low
Alcoholic Beverages,Beck's,3,Medium,Economy,Medium
Juices,Hohes C Orange,0,High,Economy,Very High
Water,Evian,2,Very Low,Economy,Very Low
Soft Drinks,Coca-Cola,1,Very Low,Economy,Very Low
Water,Volvic Touch,2,Low,Economy,Low
Soft Drinks,Fanta,1,Low,Economy,Medium
Soft Drinks,Coca-Cola,1,Low,Economy,Medium
Alcoholic Beverages,Warsteiner,3,Medium,Economy,High
Water,Gerolsteiner,2,Low,Economy,Medium
Water,Volvic Touch,2,Very High,Economy,Very High
Alcoholic Beverages,Kölsch,3,Low,Economy,Medium
Soft Drinks,Schwip Schwap,1,Medium,Economy,Medium
Soft Drinks,Schwip Schwap,1,Low,Economy,Low
Soft Drinks,Fanta,1,Medium,Economy,High
Alcoholic Beverages,Kölsch,3,Low,Economy,Medium
Soft Drinks,Schwip Schwap,1,Low,Economy,Low
Soft Drinks,Fanta,1,Very Low,Economy,Very Low
Alcoholic Beverages,Augustiner,3,High,Economy,High
Alcoholic Beverages,Augustiner,3,Low,Economy,Low
Water,Apollinaris,2,Very Low,Economy,Very Low
Alcoholic Beverages,Warsteiner,3,Very Low,Economy,Very Low
Water,Vio Wasser,2,Medium,Economy,High
Water,Gerolsteiner,2,Very Low,Economy,Very Low
Soft Drinks,Sprite,1,Very High,Economy,Very High
Water,Evian,2,Medium,Economy,Medium
Water,Evian,2,Very Low,Economy,Very Low
Soft Drinks,Fanta,1,Very Low,Economy,Very Low
Water,Evian,2,Medium,Economy,Medium
Water,Volvic Touch,2,Medium,Economy,Medium
Soft Drinks,Fanta,1,Very Low,Economy,Very Low
Alcoholic Beverages,Augustiner,3,Very Low,Economy,Very Low
Water,San Pellegrino,2,Very High,Economy,Very High
Soft Drinks,Schwip Schwap,1,Medium,Economy,Medium
Alcoholic Beverages,Beck's,3,Low,Economy,Low
Water,Evian,2,Very Low,Economy,Very Low
Soft Drinks,Coca-Cola,1,Very High,Economy,Very High
Juices,Hohes C Orange,0,High,Economy,Very High
Water,Volvic Touch,2,Very High,Economy,Very High
Water,Evian,2,Very Low,Economy,Very Low
Water,Apollinaris,2,Very Low,Economy,Low
Water,Gerolsteiner,2,Low,Economy,Medium
Soft Drinks,Sprite,1,Medium,Economy,High
Alcoholic Beverages,Augustiner,3,Low,Economy,Medium
Alcoholic Beverages,Augustiner,3,Medium,Economy,High
Soft Drinks,Mountain Dew,1,Low,Economy,Low
Soft Drinks,Fanta,1,Medium,Economy,High
Water,Evian,2,Very High,Economy,Very High
Water,Evian,2,High,Economy,Very High
Soft Drinks,Sprite,1,Very High,Economy,Very High
Soft Drinks,Schwip Schwap,1,Medium,Economy,Medium
Alcoholic Beverages,Beck's,3,Very Low,Economy,Very Low
Soft Drinks,Schwip Schwap,1,Low,Economy,Medium
Water,San Pellegrino,2,High,Economy,High
Water,Gerolsteiner,2,Very Low,Economy,Very Low
Water,Evian,2,Very High,Economy,Very High
Soft Drinks,Coca-Cola,1,Low,Economy,Medium
Soft Drinks,Mountain Dew,1,High,Economy,Very High
Juices,Hohes C Orange,0,High,Economy,Very High
Water,Vittel,2,Medium,Economy,High
Soft Drinks,Fanta,1,Very Low,Economy,Very Low
Water,Volvic Touch,2,Medium,Economy,Medium
Soft Drinks,Fanta,1,Low,Economy,Low
Soft Drinks,Sprite,1,High,Economy,Very High
Soft Drinks,Fanta,1,Low,Economy,Medium
Soft Drinks,Schwip Schwap,1,Low,Economy,Medium
Soft Drinks,Sprite,1,Very High,Economy,Very High
Water,Vio Wasser,2,Low,Economy,Medium
Water,Gerolsteiner,2,Low,Economy,Medium
Water,Evian,2,Low,Economy,Low
Soft Drinks,Coca-Cola,1,Very Low,Economy,Very Low
Alcoholic Beverages,Warsteiner,3,Medium,Economy,High
Soft Drinks,Pepsi,1,High,Economy,Very High
Water,Selters,2,Low,Economy,Low
Soft Drinks,Fanta,1,Low,Economy,Low
Water,Evian,2,High,Economy,Very High
Soft Drinks,Coca-Cola,1,Medium,Economy,High
Alcoholic Beverages,Beck's,3,Medium,Economy,High
Water,Volvic Touch,2,Very Low,Economy,Very Low
Soft Drinks,Schwip Schwap,1,Medium,Economy,High
Water,Vio Wasser,2,High,Economy,Very High
Water,Apollinaris,2,High,Economy,Very High
Soft Drinks,Fanta,1,Low,Economy,Low
Soft Drinks,Coca-Cola,1,High,Economy,Very High
Soft Drinks,Pepsi,1,High,Economy,Very High
Water,Gerolsteiner,2,Low,Economy,Medium
Water,Gerolsteiner,2,Low,Economy,Medium
Alcoholic Beverages,Augustiner,3,Low,Economy,Medium
Alcoholic Beverages,Beck's,3,Low,Economy,Low
Soft Drinks,Fanta,1,Medium,Economy,Medium
Alcoholic Beverages,Augustiner,3,Very Low,Economy,Very Low
Alcoholic Beverages,Warsteiner,3,Low,Economy,Low
Water,Gerolsteiner,2,Very Low,Economy,Very Low
Soft Drinks,Fanta,1,Medium,Economy,High
Water,Vio Wasser,2,High,Economy,Very High
Water,Gerolsteiner,2,Very High,Economy,Very High
Water,Evian,2,Low,Economy,Medium
Water,Evian,2,High,Economy,Very High
Alcoholic Beverages,Erdinger Weißbier,3,High,Economy,Very High
Water,Gerolsteiner,2,Very Low,Economy,Very Low
Water,Evian,2,Very Low,Economy,Very Low
Water,Apollinaris,2,Very Low,Economy,Very Low
Soft Drinks,Fanta,1,Low,Economy,Medium
Soft Drinks,Schwip Schwap,1,Very Low,Economy,Very Low
Soft Drinks,Fanta,1,Low,Economy,Low
Alcoholic Beverages,Warsteiner,3,Low,Economy,Medium
Water,Volvic Touch,2,Low,Economy,Very Low
Water,Volvic Touch,2,Medium,Economy,High
Water,Evian,2,High,Economy,Very High
Water,San Pellegrino,2,Very High,Economy,Very High
Soft Drinks,Coca-Cola,1,Very Low,Economy,Low
Water,Volvic Touch,2,Medium,Economy,High
Soft Drinks,Coca-Cola,1,Very High,Economy,Very High
Water,Gerolsteiner,2,Low,Economy,Medium
Alcoholic Beverages,Warsteiner,3,Low,Economy,Low
Juices,Hohes C Orange,0,High,Economy,High
Water,Gerolsteiner,2,Very Low,Economy,Very Low
Soft Drinks,Schwip Schwap,1,Low,Economy,Low
Soft Drinks,Schwip Schwap,1,High,Economy,Very High
Water,Apollinaris,2,Low,Economy,Medium
Soft Drinks,Coca-Cola,1,Medium,Economy,High
Soft Drinks,Schwip Schwap,1,Low,Economy,Low
Alcoholic Beverages,Augustiner,3,High,Economy,Very High
Soft Drinks,Mezzo Mix,1,High,Economy,Very High
Water,Evian,2,Medium,Economy,High
Water,San Pellegrino,2,Very High,Economy,Very High
Soft Drinks,Fanta,1,Low,Economy,Low
Alcoholic Beverages,Krombacher,3,Very High,Economy,Very High
Soft Drinks,Pepsi,1,High,Economy,Very High
Water,Apollinaris,2,Very Low,Economy,Very Low
Soft Drinks,Mountain Dew,1,Low,Economy,Low
Water,San Pellegrino,2,High,Economy,Very High
Water,Evian,2,High,Economy,Very High
Soft Drinks,Sprite,1,High,Economy,Very High
Water,Volvic Touch,2,Low,Economy,Low
Water,Evian,2,Very Low,Economy,Very Low
Soft Drinks,Coca-Cola,1,Very Low,Economy,Very Low
Water,Apollinaris,2,High,Economy,Very High
Alcoholic Beverages,Augustiner,3,Low,Economy,Medium
Water,Gerolsteiner,2,Low,Economy,Medium
Soft Drinks,Fanta,1,Low,Economy,Low
